SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR
80,100,96,100,100,97,96,72,98,77,98,96,80,71,98,69,77,81,98,83,64,66,72,80,78,91,79,97,89,99
96,96,97,98,99,96,96,69,97,77,99,99,97,72,96,70,97,78,96,86,83,84,71,81,78,92,81,99,90,100
81,98,99,99,99,98,97,68,96,98,98,100,97,98,97,68,97,100,82,85,84,64,89,82,82,90,82,99,92,96
96,99,99,100,96,99,99,68,98,99,100,96,79,100,96,69,97,96,82,65,84,84,88,81,80,91,82,96,89,96
82,99,98,98,97,100,97,68,100,96,100,97,78,70,97,72,76,96,100,66,66,84,68,80,82,89,82,97,89,97
78,97,98,98,98,97,99,68,98,98,96,96,80,72,96,69,76,98,78,83,64,85,69,79,82,90,79,96,89,100
99,98,99,100,100,96,100,68,96,97,96,99,81,100,99,70,100,99,99,66,87,67,91,81,82,92,82,98,89,100
96,98,96,98,98,96,100,71,100,96,96,97,98,98,98,69,96,97,82,83,63,86,69,81,79,89,79,96,90,98
81,97,98,97,99,96,99,70,98,73,99,100,97,98,100,69,75,82,100,86,67,65,89,79,81,90,80,96,89,99
82,97,99,98,98,97,100,72,96,96,100,97,82,72,97,70,99,78,80,65,63,83,70,79,82,88,78,96,92,100
79,100,98,99,99,99,98,72,100,96,98,100,80,70,97,69,76,81,82,64,87,66,68,79,81,88,81,99,88,100
82,98,99,100,100,97,98,68,98,74,96,100,82,69,98,72,77,98,100,84,84,83,70,81,80,92,82,98,89,99
80,99,97,100,99,99,96,70,97,75,99,99,81,96,98,68,75,100,79,85,63,64,72,79,79,92,81,97,92,99
96,99,96,100,98,96,98,71,97,74,100,97,78,69,97,68,97,98,79,83,67,84,92,80,81,90,81,100,88,97
99,96,96,98,99,97,100,68,99,97,97,98,81,98,96,68,74,100,78,64,86,63,72,78,78,90,78,97,92,96
99,100,97,96,98,97,97,70,98,77,100,97,78,70,98,70,98,81,81,66,63,84,90,80,79,89,82,99,88,99
98,100,100,100,96,98,97,70,97,99,97,99,79,96,99,72,96,78,100,67,67,87,72,82,78,90,78,98,92,100
82,98,99,100,98,99,97,71,96,99,100,98,78,69,97,72,76,78,100,64,83,65,88,78,78,89,82,100,91,98
