Src,aux,Dest,Weight
Agente11624,1,Agente22369,1
Agente11624,1,Agente22380,2
Agente22369,1,Agente22380,1
Agente20728,1,Agente29054,2
Agente20728,1,Agente6510,1
Agente29054,1,Agente6510,3
Agente13028,1,Agente23623,2
Agente26434,1,Agente13827,1
Agente26434,1,Agente24804,1
Agente13827,1,Agente24804,1
Agente24828,1,Agente1237,1
Agente6006,1,Agente6527,5
Agente16240,1,Agente11026,1
Agente23755,1,Agente23623,1
Agente17700,1,Agente30621,8
Agente17700,1,Agente26799,3
Agente30621,1,Agente26799,4
Agente22290,1,Agente25252,1
Agente22290,1,Agente30292,2
Agente25252,1,Agente30292,1
Agente16240,1,Agente24377,3
Agente21856,1,Agente16483,8
Agente21856,1,Agente7004,7
Agente16483,1,Agente7004,5
Agente24476,1,Agente24095,1
Agente23755,1,Agente6510,1
Agente8556,1,Agente18356,2
Agente8556,1,Agente13148,1
Agente18356,1,Agente13148,1
Agente20920,1,Agente3375,1
Agente8556,1,Agente9326,2
Agente18700,1,Agente13276,1
Agente18700,1,Agente10268,1
Agente13276,1,Agente10268,1
Agente28788,1,Agente16558,1
Agente6098,1,Agente20564,4
Agente16602,1,Agente30621,2
Agente16602,1,Agente26799,1
Agente14842,1,Agente18356,1
Agente22408,1,Agente22231,2
Agente14842,1,Agente16555,1
Agente14768,1,Agente18030,1
Agente14768,1,Agente30439,1
Agente18030,1,Agente30439,1
Agente20920,1,Agente9915,1
Agente16032,1,Agente10678,2
Agente23944,1,Agente8410,1
Agente23944,1,Agente30621,4
Agente8410,1,Agente30621,8
Agente8464,1,Agente24555,1
Agente24555,1,Agente16558,1
Agente1859,1,Agente20239,1
Agente30282,1,Agente8250,1
Agente30282,1,Agente27837,1
Agente8250,1,Agente27837,1
Agente25393,1,Agente4885,1
Agente6889,1,Agente15169,1
Agente6889,1,Agente21837,1
Agente15169,1,Agente21837,1
Agente27659,1,Agente25324,1
Agente21051,1,Agente30292,1
Agente21051,1,Agente6510,1
Agente30292,1,Agente6510,4
Agente28476,1,Agente9326,1
Agente23595,1,Agente22286,1
Agente10270,1,Agente23623,1
Agente28210,1,Agente21051,1
Agente28210,1,Agente8556,2
Agente21051,1,Agente8556,1
Agente26333,1,Agente24492,1
Agente26333,1,Agente4845,1
Agente24492,1,Agente4845,1
Agente24377,1,Agente23182,2
Agente15830,1,Agente21254,1
Agente19536,1,Agente28210,2
Agente19536,1,Agente6510,3
Agente28210,1,Agente6510,2
Agente8464,1,Agente21890,2
Agente23528,1,Agente10068,2
Agente23402,1,Agente21572,1
Agente17278,1,Agente13452,1
Agente17278,1,Agente15086,2
Agente13452,1,Agente15086,1
Agente25272,1,Agente15169,4
Agente25272,1,Agente16558,14
Agente15169,1,Agente16558,1
Agente8464,1,Agente15169,1
Agente29657,1,Agente13042,1
Agente8768,1,Agente2419,1
Agente8768,1,Agente10917,2
Agente2419,1,Agente10917,1
Agente24424,1,Agente20414,1
Agente8464,1,Agente2300,3
Agente8464,1,Agente24427,3
Agente8464,1,Agente26644,2
Agente24427,1,Agente26644,1
Agente22928,1,Agente23623,1
Agente4885,1,Agente26975,1
Agente25272,1,Agente17445,2
Agente17445,1,Agente16558,2
Agente22224,1,Agente17504,1
Agente22224,1,Agente20414,1
Agente17504,1,Agente20414,1
Agente8556,1,Agente10268,1
Agente8556,1,Agente15086,1
Agente10268,1,Agente15086,2
Agente21626,1,Agente7004,6
Agente8464,1,Agente964,2
Agente19404,1,Agente19119,1
Agente8556,1,Agente23278,1
Agente8464,1,Agente19731,2
Agente8464,1,Agente22909,5
Agente19731,1,Agente22909,1
Agente2214,1,Agente16895,1
Agente25480,1,Agente5877,1
Agente7009,1,Agente10676,1
Agente7009,1,Agente26645,1
Agente10676,1,Agente26645,1
Agente23016,1,Agente28089,1
Agente23016,1,Agente29196,1
Agente28089,1,Agente29196,1
Agente21861,1,Agente15174,1
Agente25288,1,Agente23054,1
Agente8464,1,Agente27032,4
Agente23017,1,Agente23025,1
Agente22056,1,Agente1722,1
Agente15400,1,Agente23905,1
Agente29054,1,Agente11950,1
Agente30037,1,Agente19119,1
Agente18434,1,Agente18356,1
Agente18434,1,Agente29054,1
Agente18356,1,Agente29054,4
Agente22721,1,Agente6569,1
Agente24427,1,Agente9060,2
Agente22328,1,Agente14615,1
Agente21220,1,Agente6510,1
Agente21220,1,Agente30292,1
Agente21337,1,Agente15086,1
Agente19536,1,Agente30292,1
Agente8410,1,Agente7004,1
Agente7004,1,Agente30621,1
Agente9174,1,Agente15398,1
Agente8506,1,Agente24493,1
Agente22292,1,Agente27070,1
Agente26160,1,Agente13795,1
Agente8762,1,Agente25303,1
Agente11257,1,Agente1791,1
Agente28210,1,Agente18700,1
Agente11950,1,Agente26959,1
Agente1680,1,Agente24050,1
Agente22625,1,Agente22362,1
Agente8464,1,Agente25957,5
Agente1722,1,Agente19254,1
Agente11026,1,Agente21603,1
Agente24492,1,Agente9572,1
Agente15275,1,Agente3309,1
Agente20920,1,Agente22434,2
